lat,lon
38.92803652,-121.6753869
39.01487279,-121.7896765
39.00280106,-121.7702787
38.93845199,-121.6740994
38.93547134,-121.7295923
38.99566377,-121.7917364
38.92623368,-121.6735844
39.01680674,-121.7883032
39.01740693,-121.7895906
38.86250869,-121.596044
39.01633993,-121.7865865
38.94867672,-121.7413528
38.99878451,-121.7022629
38.96911105,-121.7644485
38.99813188,-121.7684763
38.92178345,-121.7245283
38.933869,-121.7299356
38.92672475,-121.7261591
39.01067126,-121.7643564
39.01573974,-121.7774027
39.00493544,-121.7633264
39.1534182,-121.4981005
39.01727355,-121.7784326
38.99753154,-121.7907064
38.97324832,-121.7694267
39.00833697,-121.7645281
38.88503441,-121.6740225
38.97324832,-121.7694267
38.88313027,-121.6755675
38.92803652,-121.6753869
38.91543839,-121.6785205
39.00873714,-121.7742269
38.95168046,-121.7449577
39.01213849,-121.7700212
38.92619057,-121.7201509
39.01600649,-121.7715662
39.15098879,-121.4966413
38.96484007,-121.7670235
38.91924589,-121.72367
38.91203239,-121.6762031
38.92178345,-121.7245283
38.90969485,-121.6774047
39.00873714,-121.7742269
38.96417271,-121.7726883
39.01687343,-121.7852991
39.01500617,-121.7865007
38.99633083,-121.7513101
38.9671758,-121.7637619
38.97198047,-121.7695126
39.14473183,-121.5019628
38.88369818,-121.6778849
39.009204,-121.760494
39.00753663,-121.7651289
39.1504563,-121.4968559
38.91156489,-121.680323
38.99319556,-121.7539709
39.01240526,-121.7836683
38.93326811,-121.7356004
38.97404905,-121.772345
39.01560637,-121.7896765
38.92211733,-121.7211809
38.94165645,-121.672812
39.01393914,-121.7757719
39.01740693,-121.7895906
39.01240526,-121.7836683
38.92926204,-121.7243566
39.00853706,-121.7704504
38.8623082,-121.5975032
39.00313456,-121.7728536
39.1504563,-121.4968559
38.93190912,-121.6774468
38.99899904,-121.7653864
38.99726472,-121.7925089
38.99726472,-121.7925089
38.94038803,-121.6789918
38.8593675,-121.596559
38.94987823,-121.7410953
39.00493544,-121.7633264
38.92619057,-121.7201509
38.9251222,-121.7102804
38.99973278,-121.7713945
38.99759824,-121.7536276
39.01734024,-121.7705362
38.99853211,-121.766588
38.96931125,-121.7677101
38.88042429,-121.6737221
39.00313456,-121.7728536
39.01680674,-121.789419
38.92959589,-121.7259016
38.97231412,-121.7721733
38.95168046,-121.7449577
38.99878451,-121.7022629
38.92892819,-121.7192068
39.009204,-121.760494
38.9700453,-121.7724308
39.01560637,-121.7896765
38.94654064,-121.7450435
38.93845199,-121.6740994
38.99759824,-121.7536276
38.9253893,-121.7260732
38.9739156,-121.7690834
38.94508467,-121.7427244
38.88286302,-121.6794298
38.92211733,-121.7211809
38.93190912,-121.6774468
39.01687343,-121.7737119
39.00853706,-121.7704504
38.92623368,-121.6735844
38.91550517,-121.6800655
39.00140034,-121.7699354
39.01507286,-121.7858999
38.92819372,-121.712512
38.94508467,-121.7427244
38.9251222,-121.7102804
38.9307073,-121.6731553
39.00140034,-121.7699354
39.01487279,-121.7896765
38.99726472,-121.7925089
38.94654064,-121.7450435
38.92051468,-121.721095
38.97184702,-121.7654785
39.1534182,-121.4981005
39.00873714,-121.7742269
38.93624885,-121.6757302
39.00260096,-121.7683904
38.9373407,-121.7343988
39.00140034,-121.7699354
38.91557196,-121.6759456
38.93190912,-121.6774468
38.93925312,-121.6769318
38.92211733,-121.7211809
39.01187172,-121.7855566
39.00440185,-121.7732828
38.96530722,-121.7684826
39.01633993,-121.7865865
38.97164683,-121.7679676
38.96944471,-121.7710575
38.99899904,-121.7653864
39.01173834,-121.7888181
38.96524049,-121.7639336
38.9373407,-121.7343988
39.00873714,-121.7742269
38.94914397,-121.7380054
38.94388308,-121.7461576
38.94388308,-121.7461576
39.01633993,-121.7865865
38.93473694,-121.7315664
39.01780704,-121.7901056
38.96931125,-121.7677101
38.99813188,-121.7684763
38.90969485,-121.6774047
38.94319186,-121.6785626
38.94508467,-121.7427244
39.00900392,-121.7628973
39.01080465,-121.7699354
39.01607318,-121.7697637
38.96931125,-121.7677101
39.01500617,-121.7865007
38.94987823,-121.7410953
39.0148061,-121.78384
38.88546869,-121.6808031
38.99719801,-121.7507952
38.88586955,-121.6781853
39.01487279,-121.7896765
39.01067126,-121.7643564
38.92712538,-121.7235841
38.94332537,-121.6771035
38.91557196,-121.6759456
39.01487279,-121.7896765
38.92683463,-121.6765027
38.93925312,-121.6769318
39.01380576,-121.7885607
38.94987823,-121.7410953
39.01393914,-121.7757719
39.00833697,-121.7645281
39.00706975,-121.7613523
39.01487279,-121.7896765
38.92803652,-121.6753869
38.99705019,-121.6988297
39.1504563,-121.4968559
39.01787373,-121.7835825
38.91884522,-121.7198076
39.01680674,-121.789419
38.99759824,-121.7536276
38.88286302,-121.6794298
38.96911105,-121.7644485
38.9387858,-121.6801076
38.95067923,-121.739722
38.9253893,-121.7260732
38.88586955,-121.6781853
38.95148022,-121.7384345
38.95161371,-121.7405803
39.00506884,-121.7701071
39.01740693,-121.7895906
38.99472986,-121.7917364
38.97198047,-121.7695126
38.9253893,-121.7260732
39.01787373,-121.7835825
38.86050369,-121.6025672
39.00126694,-121.7679613
38.99973278,-121.767103
38.92178345,-121.7245283
38.86284285,-121.6005931
38.86250869,-121.596044
38.94654064,-121.7450435
38.99719801,-121.7902773
38.99899904,-121.7653864
39.01787373,-121.7835825
38.99779836,-121.7701929
39.00280106,-121.7702787
38.91543839,-121.6785205
39.01067126,-121.7643564
38.96911105,-121.7644485
39.01233857,-121.7722528
39.01734024,-121.7705362
38.99339569,-121.7515676
39.01607318,-121.7697637
39.01734024,-121.7705362
38.99993289,-121.7695062
38.8623082,-121.5975032
38.9251222,-121.7102804
