lat,lon
39.0522577,-121.5868601
38.99721494,-121.6334395
39.09130547,-121.5812046
38.98947667,-121.6233973
39.00729539,-121.6380706
38.9602562,-121.6022938
38.97898683,-121.6414098
39.02259141,-121.6959206
38.98207115,-121.6305212
38.99601423,-121.6337828
38.99214514,-121.6340403
38.95098192,-121.5275363
38.9876754,-121.6272597
39.01209735,-121.6386714
38.98036854,-121.5672789
39.00596146,-121.6416755
39.01489581,-121.6329208
39.05581603,-121.6846768
38.98433959,-121.627088
39.01296181,-121.6295734
38.98772697,-121.6475896
39.06330586,-121.666824
38.98903355,-121.5652083
38.97972077,-121.6037301
39.01329526,-121.5676895
38.97798598,-121.6426114
39.01416223,-121.5676036
39.0114279,-121.6309467
39.09637402,-121.6739751
39.06174766,-121.6688839
39.02345827,-121.641911
38.93916634,-121.59457
39.00382711,-121.637899
38.98425773,-121.6479329
38.97952061,-121.6006402
38.9927694,-121.5784263
38.99107776,-121.6242556
39.00989397,-121.6127506
39.00649503,-121.6426196
38.98067002,-121.6238264
39.02045756,-121.6364178
39.00769304,-121.6148963
39.06943677,-121.6628758
38.99608094,-121.5975622
38.98572551,-121.6480187
39.03468472,-121.6239087
38.97311498,-121.6372899
38.99608094,-121.5975622
38.94924642,-121.5416983
38.99407971,-121.6341261
39.05581603,-121.6846768
38.98580737,-121.6308645
39.06607943,-121.6767804
39.07251723,-121.6971614
39.12119437,-121.6758087
38.99241198,-121.6309504
39.00729539,-121.6380706
39.01576276,-121.6313758
38.9789201,-121.6394357
39.07365001,-121.6972472
39.0016927,-121.6279426
38.98240475,-121.6243414
39.05215017,-121.6400448
39.01016327,-121.640903
39.02812577,-121.6888825
39.01672318,-121.6978947
39.08544295,-121.5821488
38.98267163,-121.6267447
38.99695392,-121.6402049
39.00429148,-121.6275993
39.07365001,-121.6972472
38.99016767,-121.5706157
38.94423994,-121.5943125
39.06943677,-121.6628758
38.99241198,-121.6309504
38.98572551,-121.6480187
38.9876754,-121.6272597
39.10682907,-121.6879183
39.0149625,-121.5690627
39.07251723,-121.6971614
38.98300522,-121.598163
39.0341264,-121.6792695
38.95098192,-121.5275363
39.08511004,-121.6794803
39.07916517,-121.6492287
38.97324844,-121.5978936
38.98445788,-121.6502503
39.05679001,-121.5813669
39.00462497,-121.6069141
39.01416223,-121.5676036
38.9602562,-121.6022938
38.94257103,-121.5922526
38.9481784,-121.5986041
38.98300522,-121.5996222
39.08511004,-121.6794803
38.98429675,-121.5694999
38.98497217,-121.5704546
38.99530432,-121.5759372
39.12119437,-121.6758087
38.99414642,-121.5974764
39.03508474,-121.68708
38.95772327,-121.5330294
38.94050153,-121.5308837
39.01209735,-121.6386714
39.0047609,-121.6454521
39.00602816,-121.6435638
39.03092613,-121.688625
39.09284349,-121.6359521
38.95198315,-121.5377501
38.97898683,-121.6414098
39.01416223,-121.5676036
38.96831038,-121.6262177
38.98445788,-121.6502503
39.01616289,-121.6291442
38.94423994,-121.5943125
38.94837866,-121.5402392
38.97429663,-121.574317
39.04061812,-121.6492287
38.97845304,-121.6360024
38.97972077,-121.6037301
38.98970068,-121.5802287
39.01389547,-121.6321483
39.06314718,-121.6680256
39.01002988,-121.6391864
39.00237496,-121.5702723
39.06607943,-121.6767804
39.01649633,-121.6303459
38.97158021,-121.6309384
38.97429663,-121.574317
39.13520112,-121.6614535
39.00422478,-121.621677
38.98300522,-121.5996222
39.0043607,-121.6366973
39.08256313,-121.6638199
39.11464978,-121.6691168
38.98036854,-121.5672789
38.98405758,-121.6460446
38.99107776,-121.6242556
38.98779369,-121.6694764
38.96942537,-121.5706263
39.00435818,-121.6231361
38.97362935,-121.5714846
39.0043607,-121.6366973
38.97985422,-121.6196946
39.01672318,-121.6978947
39.02592541,-121.6869084
38.99421313,-121.6019396
39.00289079,-121.5705219
39.07003651,-121.6641633
38.9876754,-121.6272597
38.96789053,-121.5709696
38.97952061,-121.6006402
39.02212464,-121.6390785
39.01919056,-121.6791836
38.97778581,-121.6272477
39.01389547,-121.6321483
39.13520112,-121.6614535
38.98032127,-121.6365174
39.01649633,-121.6303459
38.98207115,-121.6305212
39.06174766,-121.6688839
38.99935529,-121.6319651
39.03459309,-121.6218266
39.00549457,-121.6388431
39.00549457,-121.6388431
38.97246864,-121.5937722
38.98433959,-121.627088
38.99695392,-121.6402049
39.01549601,-121.6324916
39.07003651,-121.6641633
38.99601423,-121.6306929
39.05634923,-121.6419331
38.9602562,-121.6022938
39.10336793,-121.6589548
38.99214514,-121.6340403
38.99810598,-121.5734481
38.99721494,-121.6334395
38.97709911,-121.5731154
39.11686598,-121.684306
38.98445788,-121.6502503
39.00569214,-121.6292301
39.00836252,-121.6390148
39.00936294,-121.6432205
39.0047609,-121.6454521
39.10825639,-121.6819914
39.08511004,-121.6794803
39.09284349,-121.6359521
38.97778581,-121.6272477
39.03092613,-121.688625
39.0047609,-121.6454521
38.9602562,-121.6022938
38.95772327,-121.5330294
38.94857891,-121.5417842
39.01249497,-121.6069141
38.95198315,-121.5377501
38.9927694,-121.5784263
39.02212464,-121.6390785
38.99016767,-121.5706157
39.00422478,-121.621677
38.99381288,-121.6314654
38.9432386,-121.5652159
38.98580737,-121.6308645
38.99414642,-121.5974764
39.01742995,-121.6271701
38.94257103,-121.5922526
38.99107776,-121.6242556
39.00889356,-121.616098
38.98752683,-121.666129
38.99810598,-121.5734481
39.0043607,-121.6366973
38.94423994,-121.5943125
39.13348672,-121.6687706
38.94924642,-121.5416983
39.00142307,-121.6475005
39.02592541,-121.6869084
39.13520112,-121.6614535
