lat,lon
39.10777336,-121.5918242
38.97144362,-121.4435788
38.92342335,-121.5636225
39.02718657,-121.3643585
39.02638012,-121.5829499
39.07209899,-121.6857645
38.99966263,-121.677192
39.03490689,-121.6301462
38.92449175,-121.5900584
38.971844,-121.4779111
39.09359343,-121.6553389
39.16277449,-121.5158659
39.06632736,-121.6436907
39.0217125,-121.5896447
39.07818836,-121.6122766
39.05943721,-121.6775247
38.99552691,-121.611274
39.06476876,-121.6874811
39.09186143,-121.6795431
39.15944695,-121.5098578
39.18579676,-121.5227324
38.89667624,-121.5773554
39.02020426,-121.6303285
38.96703932,-121.5299244
39.11296807,-121.5945708
38.96797359,-121.5309544
39.02238563,-121.4313064
39.08126108,-121.6429793
39.15199268,-121.5191275
39.14187492,-121.5677077
38.98839099,-121.4914723
38.99770904,-121.3928543
38.91848182,-121.5679141
39.00157783,-121.379293
39.11762966,-121.6146551
39.00032966,-121.6014893
39.08599895,-121.6573988
39.00758071,-121.402124
39.04819885,-121.6364809
39.17452489,-121.5314121
39.12442171,-121.5937124
39.06632736,-121.6436907
39.14254061,-121.5495116
39.07827039,-121.6553389
38.99682421,-121.4664339
39.18579676,-121.5227324
39.02020426,-121.6303285
39.08232709,-121.6810881
38.95973971,-121.4008876
39.01304956,-121.3859878
39.15931384,-121.6001517
38.97744906,-121.4808293
38.94180936,-121.555502
39.0217125,-121.5896447
39.18473231,-121.5144927
39.14972963,-121.5404135
39.1040436,-121.598519
39.07846272,-121.6311346
38.95662804,-121.5462323
39.10870578,-121.5990339
38.87289136,-121.5958949
39.05943721,-121.6775247
39.02718657,-121.3643585
39.05211949,-121.3875328
39.06198356,-121.4307915
39.022519,-121.4266716
38.99210559,-121.3894211
38.99112409,-121.6179688
38.96641349,-121.5574427
39.022519,-121.4266716
39.02638012,-121.5829499
39.17674844,-121.5287406
38.99655739,-121.4504694
38.99682421,-121.4664339
39.16077798,-121.6059882
39.02345254,-121.3811813
39.18473231,-121.5144927
39.14520329,-121.54522
39.06198356,-121.4307915
38.99544103,-121.3839279
39.14972963,-121.5404135
39.00491283,-121.3907944
38.96703932,-121.5299244
39.15851521,-121.5192992
39.14271247,-121.5444584
39.08400027,-121.6168867
39.04806553,-121.6260096
38.88892699,-121.5986415
39.04233274,-121.6421457
39.14972963,-121.5404135
39.00273092,-121.5671571
39.05743778,-121.6770097
38.99682421,-121.4664339
39.00926725,-121.6864617
39.14640147,-121.5261656
38.97144362,-121.5103551
39.14520329,-121.54522
38.88411668,-121.6010447
39.05105302,-121.4301048
39.16237519,-121.5071112
39.12095918,-121.6555105
39.11296807,-121.5945708
39.05797097,-121.66671
39.00491283,-121.3907944
39.12095918,-121.6555105
38.99952922,-121.6183122
39.19537606,-121.5910536
39.01091542,-121.4119087
39.15438878,-121.5546614
39.05419777,-121.621718
39.18260337,-121.5321738
39.02638012,-121.5829499
39.08706489,-121.685208
39.07396474,-121.6758081
39.06632736,-121.6436907
39.11429998,-121.6788565
39.00926725,-121.6864617
38.85177227,-121.5945216
38.97385536,-121.4554759
39.1871273,-121.6046149
39.06272869,-121.6160532
38.97424622,-121.5155049
38.98492178,-121.4700146
39.16357308,-121.5139777
39.11390041,-121.6779982
38.98841876,-121.4269518
38.99686104,-121.6054376
39.01736666,-121.4463495
39.15562552,-121.5384502
39.08126108,-121.6429793
39.07240679,-121.5820395
38.99549008,-121.4036059
39.0134497,-121.402639
39.19338048,-121.5912253
39.01336536,-121.4540743
39.06518243,-121.3758598
39.14147551,-121.5522582
38.9754473,-121.4351674
39.1580215,-121.502573
39.06198356,-121.4307915
38.91006708,-121.6048213
39.18260337,-121.5321738
39.06038408,-121.3840996
39.1580215,-121.502573
39.01807034,-121.6586526
39.00273092,-121.5671571
38.94180936,-121.555502
39.15931384,-121.6001517
39.0084301,-121.4681505
38.97144362,-121.5103551
39.04806553,-121.6260096
39.1444045,-121.5737158
39.11376722,-121.6829764
38.9879907,-121.4592
39.11296807,-121.5945708
38.99730881,-121.3995491
39.05939642,-121.6230913
38.99210559,-121.3894211
39.04652035,-121.3998924
39.05286472,-121.6363092
39.03170666,-121.6418191
38.98895247,-121.4176821
39.10843937,-121.6640936
39.02718657,-121.3643585
38.97024248,-121.4885541
39.07240679,-121.5820395
39.022519,-121.4266716
39.0134497,-121.402639
39.14786588,-121.568051
39.05130582,-121.6751214
39.08719813,-121.673535
39.03490689,-121.6301462
38.9889247,-121.480486
38.98841876,-121.4269518
39.05743778,-121.6770097
39.05743778,-121.6770097
39.0932528,-121.629418
39.07818836,-121.6122766
39.15629108,-121.5032596
39.07689654,-121.6797563
39.10710735,-121.684693
39.01091542,-121.4119087
39.08599895,-121.6573988
38.91848182,-121.5679141
39.14271247,-121.5444584
39.14187492,-121.5677077
39.11762966,-121.6146551
39.16237519,-121.5071112
38.88411668,-121.6010447
39.16131039,-121.5409285
39.04873211,-121.6057535
39.02198554,-121.3700233
39.06198356,-121.4307915
39.04499921,-121.6387125
39.05743778,-121.6770097
39.10710735,-121.684693
38.94180936,-121.555502
39.07846272,-121.6311346
39.01785112,-121.3897644
39.08719813,-121.673535
39.14906401,-121.5273673
39.09032168,-121.6297613
39.01785112,-121.3897644
39.10611587,-121.6373144
38.98841876,-121.4269518
39.0267865,-121.3784347
39.07499008,-121.6095301
39.06225014,-121.3782631
39.06225014,-121.3782631
39.01736666,-121.4463495
39.11429998,-121.6788565
38.97385536,-121.4554759
39.10870578,-121.5990339
39.18260337,-121.5321738
39.11576506,-121.6366278
39.12215777,-121.5930258
38.95973971,-121.4008876
